,article_id,comments,published,title,type,url
3898,739787.0,0.0,2017-01-13,Tief «Egon» sorgt für Schnee und prekäre Strassenverhältnisse,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739787/tief-egon-sorgt-fuer-schnee-und-prekaere-strassenverhaeltnisse.htm
3899,739788.0,0.0,2017-01-13,Chapecoense bekommt Angebote zur Verfilmung der Absturztragödie,newswire,http://www.tageswoche.ch/de/2017_2/international/739788/chapecoense-bekommt-angebote-zur-verfilmung-der-absturztragoedie.htm
3900,739789.0,0.0,2017-01-13,Montebourg gewinnt TV-Debatte bei Frankreichs Sozialisten,newswire,http://www.tageswoche.ch/de/2017_2/international/739789/montebourg-gewinnt-tv-debatte-bei-frankreichs-sozialisten.htm
3901,739790.0,0.0,2017-01-13,Neue Nintendo-Konsole Switch kommt am 3. März,newswire,http://www.tageswoche.ch/de/2017_2/international/739790/neue-nintendo-konsole-switch-kommt-am-3-maerz.htm
3902,739791.0,0.0,2017-01-13,Niederreiter trifft bei Minnesotas Kantersieg doppelt,newswire,http://www.tageswoche.ch/de/2017_2/sport/739791/niederreiter-trifft-bei-minnesotas-kantersieg-doppelt.htm
3903,739793.0,0.0,2017-01-13,Chinas Präsident für Vertiefung der Beziehungen mit der Schweiz,newswire,http://www.tageswoche.ch/de/2017_2/international/739793/chinas-praesident-fuer-vertiefung-der-beziehungen-mit-der-schweiz.htm
3904,739794.0,0.0,2017-01-13,Thomas schafft als siebter Spieler eine 59er-Runde auf US-Tour,newswire,http://www.tageswoche.ch/de/2017_2/sport/739794/thomas-schafft-als-siebter-spieler-eine-59er-runde-auf-us-tour.htm
3905,739796.0,0.0,2017-01-13,Brennender Lieferwagen auf A2 bei Pratteln BL,newswire,http://www.tageswoche.ch/de/2017_2/basel/739796/brennender-lieferwagen-auf-a2-bei-pratteln-bl.htm
3906,739797.0,0.0,2017-01-13,Vietnam-Veteran Kerry zum Abschied noch einmal in Hanoi,newswire,http://www.tageswoche.ch/de/2017_2/international/739797/vietnam-veteran-kerry-zum-abschied-noch-einmal-in-hanoi.htm
3907,739799.0,1.0,2017-01-13,"Neues Kino, neuer Landrat und neuer Streit um Steuerausfälle",news,http://www.tageswoche.ch/de/2017_2/basel/739799/neues-kino-neuer-landrat-und-neuer-streit-um-steuerausfaelle.htm
3908,739801.0,0.0,2017-01-13,TAG Heuer-Chef Biver glaubt an die Smartwatches,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739801/tag-heuer-chef-biver-glaubt-an-die-smartwatches.htm
3909,739802.0,0.0,2017-01-13,Sechs Kinder bei Brand in US-Stadt Baltimore gestorben,newswire,http://www.tageswoche.ch/de/2017_2/international/739802/sechs-kinder-bei-brand-in-us-stadt-baltimore-gestorben.htm
3910,739803.0,0.0,2017-01-13,Paléo-Festival gewinnt einen «European Festival Award»,newswire,http://www.tageswoche.ch/de/2017_2/kultur/739803/paleo-festival-gewinnt-einen-european-festival-award.htm
3911,739807.0,0.0,2017-01-13,Tanz und grosse Show: DJ BoBo steht seit 25 Jahren auf der Bühne,newswire,http://www.tageswoche.ch/de/2017_2/kultur/739807/tanz-und-grosse-show-dj-bobo-steht-seit-25-jahren-auf-der-buehne.htm
3912,739809.0,0.0,2017-01-13,Tötungsdelikt Adeline muss von neuen Richtern beurteilt werden,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739809/toetungsdelikt-adeline-muss-von-neuen-richtern-beurteilt-werden.htm
3913,739811.0,0.0,2017-01-13,YouTube lässt Kommentare gegen Zahlung hervorheben,newswire,http://www.tageswoche.ch/de/2017_2/international/739811/youtube-laesst-kommentare-gegen-zahlung-hervorheben.htm
3914,739812.0,0.0,2017-01-13,Aargauer Regierung hat Vorbehalte gegen Zürcher Flughafenplanung,newswire,http://www.tageswoche.ch/de/2017_2/basel/739812/aargauer-regierung-hat-vorbehalte-gegen-zuercher-flughafenplanung.htm
3915,739813.0,0.0,2017-01-13,Sechs Spiele fehlen Real zum Weltrekord,newswire,http://www.tageswoche.ch/de/2017_2/sport/739813/sechs-spiele-fehlen-real-zum-weltrekord.htm
3916,739814.0,0.0,2017-01-13,Ein Schweizer Überraschungssieger im Schneegestöber,newswire,http://www.tageswoche.ch/de/2017_2/sport/739814/ein-schweizer-ueberraschungssieger-im-schneegestoeber.htm
3917,739815.0,0.0,2017-01-13,Kleinbasel feiert «Vogel Gryff» bei kaltem Wetter,newswire,http://www.tageswoche.ch/de/2017_2/basel/739815/kleinbasel-feiert-vogel-gryff-bei-kaltem-wetter.htm
3918,739816.0,1.0,2017-01-13,Bush-Schwestern schreiben Brief an Obama-Schwestern,newswire,http://www.tageswoche.ch/de/2017_2/international/739816/bush-schwestern-schreiben-brief-an-obama-schwestern.htm
3919,739817.0,0.0,2017-01-13,In Wien könnten die Absenzen zum Thema werden,newswire,http://www.tageswoche.ch/de/2017_2/sport/739817/in-wien-koennten-die-absenzen-zum-thema-werden.htm
3920,739819.0,0.0,2017-01-13,Trump-Gegner machen mobil und Amtseinführung stören,newswire,http://www.tageswoche.ch/de/2017_2/international/739819/trump-gegner-machen-mobil-und-amtseinfuehrung-stoeren.htm
