,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
3057,613724.0,2013-12-09,news,kultur/613724,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",kultur
3058,611804.0,2013-12-13,blog,kultur/611804,11.0,10.0,00:00:17,10.0,"90,00 %","90,91 %","0,00 CHF",kultur
3059,622006.0,2013-12-29,news,sport/622006,11.0,4.0,00:00:27,4.0,"25,00 %","36,36 %","0,00 CHF",sport
3060,631950.0,2014-01-27,news,sport/631950,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",sport
3061,634017.0,2014-01-30,news,basel/634017,11.0,11.0,00:04:06,10.0,"80,00 %","81,82 %","0,00 CHF",basel
3062,638361.0,2014-02-13,news,basel/638361,11.0,10.0,00:01:51,10.0,"90,00 %","90,91 %","0,00 CHF",basel
3063,642691.0,2014-02-20,news,basel/642691,11.0,11.0,00:06:50,9.0,"88,89 %","81,82 %","0,00 CHF",basel
3064,644159.0,2014-02-27,news,leben/644159,11.0,8.0,00:01:56,7.0,"57,14 %","54,55 %","0,00 CHF",leben
3065,660489.0,2014-06-06,news,basel/660489,11.0,10.0,00:01:01,10.0,"90,00 %","90,91 %","0,00 CHF",basel
3066,651045.0,2014-03-11,newswire,schweiz/651045,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",schweiz
3067,654843.0,2014-04-07,news,basel/654843,11.0,9.0,00:01:40,8.0,"62,50 %","54,55 %","0,00 CHF",basel
3068,655215.0,2014-04-08,news,kultur/655215,11.0,10.0,00:01:10,10.0,"80,00 %","81,82 %","0,00 CHF",kultur
3069,656782.0,2014-04-25,news,kultur/656782,11.0,8.0,00:01:04,8.0,"62,50 %","63,64 %","0,00 CHF",kultur
3070,659507.0,2014-05-26,news,basel/659507,11.0,10.0,00:00:54,10.0,"70,00 %","72,73 %","0,00 CHF",basel
3071,659600.0,2014-05-28,news,basel/659600,11.0,10.0,00:08:20,9.0,"66,67 %","72,73 %","0,00 CHF",basel
3072,660078.0,2014-06-03,news,sport/660078,11.0,9.0,00:00:43,8.0,"62,50 %","72,73 %","0,00 CHF",sport
3073,661633.0,2014-06-19,news,basel/661633,11.0,11.0,00:01:15,10.0,"100,00 %","90,91 %","0,00 CHF",basel
3074,662055.0,2014-06-24,newswire,basel/662055,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",basel
