,topic_id,count,pageviews,average,median,min,max,level0,level1,level2,level3,title
167,476,17,23041,1355.3529411764705,989.0,104,4238,Lokales,Fasnacht,,,Fasnacht
168,184,26,35070,1348.8461538461538,1206.5,24,4770,Politik,_Parteien,Grüne,,Grüne
169,236,78,105030,1346.5384615384614,709.0,27,10927,Bildung,,,,Bildung
170,557,6,8079,1346.5,768.5,75,4824,_Feiertage,1. August,,,1. August
171,9,31,41697,1345.0645161290322,1062.0,166,5209,Veranstaltung,,,,Veranstaltung
172,735,27,36127,1338.037037037037,700.0,154,14175,Kultur,Kulturförderung,,,Kulturförderung
173,544,9,12042,1338.0,859.0,55,3807,Politik,_Themen,Mieten,,Mieten
174,144,112,149284,1332.892857142857,951.0,119,6704,Kultur,Kunst,,,Kunst
175,137,6,7981,1330.1666666666667,761.0,35,5227,_Länder,Asien,,,Asien
176,877,14,18555,1325.357142857143,969.0,82,3908,Lokales,Universitätsspital Basel,,,Universitätsspital Basel
177,220,17,22429,1319.3529411764705,1079.0,226,3957,Sport,Boxen,,,Boxen
178,725,23,30202,1313.1304347826087,669.0,22,5032,Digital,Datenschutz,,,Datenschutz
179,559,6,7868,1311.3333333333333,767.5,47,4457,Politik,_Organe,,,_Organe
180,2,884,1151570,1302.6809954751131,807.5,22,23104,Sport,,,,Sport
181,441,118,152678,1293.8813559322034,853.0,35,14934,Sport,Fussball,Champions League,,Champions League
182,588,27,34839,1290.3333333333333,951.0,171,5454,Kultur,Tanz,,,Tanz
183,767,54,69560,1288.148148148148,795.5,107,11183,Kultur,Festivals,,,Festivals
184,407,30,38420,1280.6666666666667,1288.5,40,3573,Sport,Fussball,Grasshoppers Zürich,,Grasshoppers Zürich
185,636,90,115126,1279.1777777777777,468.0,26,12608,Gesellschaft,Gesundheit,,,Gesundheit
186,1041,17,21673,1274.8823529411766,790.0,236,4334,_Textformen & feste Rubriken,Supersach,,,Supersach
187,157,75,95346,1271.28,832.0,77,14179,Politik,_Organe,Grosser Rat BS,,Grosser Rat BS
188,1037,15,18924,1261.6,599.0,184,6817,Sport,Fussball,Schweizerischer Fussball-Verband SFV,,Schweizerischer Fussball-Verband SFV
189,956,7,8726,1246.5714285714287,720.0,231,4430,Kultur,Kunst,Street Art,,Street Art
190,727,7,8697,1242.4285714285713,522.0,85,4712,_Länder,Europa,Kroatien,,Kroatien
191,361,5,6209,1241.8,1249.0,528,1979,Medien,Basellandschaftliche Zeitung,,,Basellandschaftliche Zeitung
192,501,9,11172,1241.3333333333333,919.0,110,3689,Gesellschaft,Sexualität,,,Sexualität
193,261,9,11156,1239.5555555555557,411.0,33,5227,Unglücksfälle und Verbrechen,Wirtschaftskriminalität,,,Wirtschaftskriminalität
194,545,6,7431,1238.5,812.0,156,3807,Politik,_Themen,Raumplanung,,Raumplanung
195,297,51,63076,1236.7843137254902,738.0,26,8357,Wirtschaft,Steuern,,,Steuern
196,939,8,9722,1215.25,1023.0,164,2649,Energie,Atomkraft,Fessenheim,,Fessenheim
197,503,51,61863,1213.0,593.0,26,8874,Gesellschaft,Arbeit,,,Arbeit
198,283,13,15708,1208.3076923076924,876.0,22,3980,Gesellschaft,Humor,,,Humor
199,878,11,13288,1208.0,1136.0,424,2345,Verkehr,Rheinhafen,,,Rheinhafen
200,237,34,41003,1205.9705882352941,986.0,123,4087,Verkehr,Öffentlicher Verkehr,BVB,,BVB
201,292,15,18066,1204.4,881.0,46,4827,Politik,_Themen,Migration,Einbürgerung,Einbürgerung
202,546,6,7160,1193.3333333333333,920.5,266,3206,Kultur,Comic,,,Comic
203,967,27,32018,1185.851851851852,823.0,82,5101,Universität,,,,Universität
