,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
124,665174.0,2015-05-11,news,basel/665174,1260.0,1119.0,00:04:58,1022.0,"82,49 %","80,56 %","0,00 CHF",basel
125,726953.0,2016-08-13,news,basel/726953,1250.0,1175.0,00:04:56,908.0,"90,20 %","77,20 %","0,00 CHF",basel
126,727028.0,2016-08-14,news,sport/727028,1244.0,1183.0,00:03:54,129.0,"74,42 %","52,97 %","0,00 CHF",sport
127,726750.0,2016-08-11,news,basel/726750,1234.0,1107.0,00:03:20,258.0,"77,13 %","42,71 %","0,00 CHF",basel
128,727287.0,2016-08-16,news,basel/727287,1217.0,1130.0,00:02:37,885.0,"83,50 %","70,91 %","0,00 CHF",basel
129,728498.0,2016-08-31,news,basel/728498,1215.0,1052.0,00:04:37,341.0,"59,24 %","43,46 %","0,00 CHF",basel
130,726367.0,2016-08-06,news,kultur/726367,1208.0,1131.0,00:05:08,888.0,"92,12 %","79,72 %","0,00 CHF",kultur
131,726220.0,2016-08-13,news,kultur/726220,1204.0,1104.0,00:02:07,224.0,"79,02 %","39,20 %","0,00 CHF",kultur
132,728220.0,2016-08-28,news,kultur/728220,1188.0,1122.0,00:03:54,811.0,"91,49 %","75,93 %","0,00 CHF",kultur
133,726141.0,2016-08-15,news,basel/726141,1159.0,1037.0,00:04:31,308.0,"73,70 %","48,92 %","0,00 CHF",basel
134,726618.0,2016-08-10,news,schweiz/726618,1158.0,1077.0,00:02:40,472.0,"78,81 %","53,80 %","0,00 CHF",schweiz
135,726825.0,2016-08-11,news,sport/726825,1155.0,1105.0,00:02:26,591.0,"83,59 %","61,90 %","0,00 CHF",sport
136,728408.0,2016-08-30,news,kultur/728408,1154.0,1066.0,00:04:54,567.0,"85,01 %","65,68 %","0,00 CHF",kultur
137,726327.0,2016-08-08,news,schweiz/726327,1141.0,1043.0,00:02:59,294.0,"82,99 %","46,36 %","0,00 CHF",schweiz
138,726722.0,2016-08-12,news,basel/726722,1138.0,1053.0,00:02:20,561.0,"82,53 %","57,64 %","0,00 CHF",basel
139,726165.0,2016-08-04,news,sport/726165,1112.0,1018.0,00:04:12,451.0,"85,37 %","63,94 %","0,00 CHF",sport
140,726011.0,2016-08-02,newswire,basel/726011,1097.0,1062.0,00:01:40,391.0,"90,03 %","52,87 %","0,00 CHF",basel
141,449400.0,2012-08-14,news,sport/449400,1070.0,837.0,00:04:33,611.0,"73,81 %","69,44 %","0,00 CHF",sport
142,728026.0,2016-08-24,news,international/728026,1068.0,975.0,00:04:20,312.0,"71,47 %","51,12 %","0,00 CHF",international
143,727939.0,2016-08-23,news,basel/727939,1062.0,1009.0,00:02:57,276.0,"81,52 %","51,98 %","0,00 CHF",basel
144,726345.0,2016-08-07,news,sport/726345,1051.0,993.0,00:01:42,84.0,"73,81 %","35,11 %","0,00 CHF",sport
145,727909.0,2016-08-24,news,basel/727909,1036.0,948.0,00:03:49,649.0,"85,52 %","69,50 %","0,00 CHF",basel
146,727067.0,2016-08-14,news,kultur/727067,1027.0,931.0,00:04:54,449.0,"83,96 %","64,36 %","0,00 CHF",kultur
147,726440.0,2016-08-07,news,kultur/726440,1019.0,955.0,00:03:58,625.0,"88,64 %","70,56 %","0,00 CHF",kultur
148,579416.0,2016-08-23,news,kultur/579416,1018.0,935.0,00:03:34,437.0,"79,41 %","56,68 %","0,00 CHF",kultur
149,725801.0,2016-08-03,news,kultur/725801,989.0,941.0,00:04:25,339.0,"83,19 %","57,43 %","0,00 CHF",kultur
150,727426.0,2016-08-20,news,sport/727426,986.0,934.0,00:03:24,536.0,"90,11 %","68,46 %","0,00 CHF",sport
151,516715.0,2013-02-28,news,basel/516715,985.0,777.0,00:02:40,681.0,"73,42 %","68,63 %","0,00 CHF",basel
152,726945.0,2016-08-15,news,schweiz/726945,985.0,881.0,00:05:39,487.0,"71,05 %","58,38 %","0,00 CHF",schweiz
153,725703.0,2016-07-29,news,basel/725703,975.0,885.0,00:06:36,543.0,"85,82 %","69,64 %","0,00 CHF",basel
154,726611.0,2016-08-10,news,international/726611,966.0,902.0,00:03:53,552.0,"85,33 %","66,56 %","0,00 CHF",international
155,728095.0,2016-08-25,news,basel/728095,961.0,888.0,00:02:17,476.0,"82,14 %","57,23 %","0,00 CHF",basel
156,725821.0,2016-08-01,news,schweiz/725821,958.0,828.0,00:05:13,238.0,"83,19 %","49,79 %","0,00 CHF",schweiz
157,726037.0,2016-08-02,news,basel/726037,958.0,885.0,00:02:29,295.0,"73,22 %","45,72 %","0,00 CHF",basel
158,713193.0,2016-03-03,news,kultur/713193,952.0,893.0,00:05:33,891.0,"92,82 %","92,44 %","0,00 CHF",kultur
159,727471.0,2016-08-18,news,basel/727471,950.0,890.0,00:02:16,757.0,"85,07 %","75,58 %","0,00 CHF",basel
160,727286.0,2016-08-17,news,kultur/727286,929.0,855.0,00:02:34,622.0,"87,46 %","74,17 %","0,00 CHF",kultur
161,727825.0,2016-08-30,news,basel/727825,914.0,804.0,00:04:42,536.0,"83,02 %","67,07 %","0,00 CHF",basel
162,719786.0,2016-05-21,news,international/719786,911.0,823.0,00:04:00,822.0,"82,73 %","82,22 %","0,00 CHF",international
163,725831.0,2016-07-31,news,basel/725831,909.0,844.0,00:03:37,575.0,"86,78 %","69,42 %","0,00 CHF",basel
164,728143.0,2016-08-28,news,sport/728143,896.0,809.0,00:04:22,374.0,"86,10 %","60,49 %","0,00 CHF",sport
165,727684.0,2016-08-21,news,sport/727684,890.0,815.0,00:01:42,56.0,"78,57 %","37,75 %","0,00 CHF",sport
166,725786.0,2016-07-30,news,schweiz/725786,882.0,824.0,00:04:12,641.0,"92,20 %","80,05 %","0,00 CHF",schweiz
167,728218.0,2016-08-27,news,sport/728218,880.0,825.0,00:04:39,280.0,"88,21 %","59,55 %","0,00 CHF",sport
168,728027.0,2016-08-27,news,kultur/728027,879.0,828.0,00:03:15,270.0,"85,19 %","52,67 %","0,00 CHF",kultur
169,727363.0,2016-08-17,news,basel/727363,870.0,770.0,00:03:17,410.0,"68,78 %","52,30 %","0,00 CHF",basel
170,728124.0,2016-08-25,news,basel/728124,867.0,781.0,00:03:00,141.0,"78,72 %","38,29 %","0,00 CHF",basel
171,726759.0,2016-08-11,news,kultur/726759,853.0,781.0,00:05:09,450.0,"83,56 %","67,64 %","0,00 CHF",kultur
