,topic_id,level0,level1,level2,level3,title
114,312,_Länder,Europa,Irland,,Irland
115,313,_Länder,Europa,Niederlande,,Niederlande
116,314,_Länder,Europa,Belgien,,Belgien
117,315,_Länder,Europa,Portugal,,Portugal
118,316,_Länder,Europa,Schweden,,Schweden
119,317,_Länder,Europa,Dänemark,,Dänemark
120,319,_Länder,Europa,Finnland,,Finnland
121,321,_Länder,Europa,Ukraine,,Ukraine
122,323,_Länder,Asien,Südkorea,,Südkorea
123,325,Aargau,,,,Aargau
124,326,Solothurn,,,,Solothurn
125,329,Politik,_Organe,Ständerat,,Ständerat
126,330,_Personen,Eveline Widmer-Schlumpf,,,Eveline Widmer-Schlumpf
127,331,_Personen,Ueli Maurer,,,Ueli Maurer
128,332,_Personen,Didier Burkhalter,,,Didier Burkhalter
129,333,_Personen,Simonetta Sommaruga,,,Simonetta Sommaruga
130,334,_Personen,Johann Schneider Ammann,,,Johann Schneider Ammann
131,335,_Personen,Barack Obama,,,Barack Obama
132,336,_Personen,Angela Merkel,,,Angela Merkel
133,338,Bildung,Fachhochschulen,,,Fachhochschulen
134,339,_Firmen,Coop,,,Coop
135,349,Bildung,FHNW,,,FHNW
136,352,Digital,Twitter,,,Twitter
137,367,_Personen,Hanspeter Gass,,,Hanspeter Gass
138,370,_Personen,Carlo Conti,,,Carlo Conti
139,371,_Personen,Anita Fetz,,,Anita Fetz
140,372,_Personen,Beat Jans,,,Beat Jans
141,373,_Personen,Sebastian Frehner,,,Sebastian Frehner
142,374,_Personen,Silvia Schenker,,,Silvia Schenker
143,375,_Personen,Peter Malama,,,Peter Malama
144,376,_Personen,Markus Lehmann,,,Markus Lehmann
145,377,_Personen,Toni Brunner,,,Toni Brunner
146,378,_Personen,Cédric Wermuth,,,Cédric Wermuth
147,379,_Personen,Gabi Huber,,,Gabi Huber
148,380,_Personen,Fulvio Pelli,,,Fulvio Pelli
149,381,_Personen,Christophe Darbellay,,,Christophe Darbellay
150,382,_Personen,Christian Levrat,,,Christian Levrat
151,383,_Personen,Urs Schwaller,,,Urs Schwaller
152,384,_Personen,Ueli Leuenberger,,,Ueli Leuenberger
153,385,_Personen,Adrian Ballmer,,,Adrian Ballmer
154,387,_Personen,Urs Wüthrich-Pelloli,,,Urs Wüthrich-Pelloli
155,388,_Personen,Isaac Reber,,,Isaac Reber
156,390,_Personen,Claude Janiak,,,Claude Janiak
157,391,_Personen,Daniela Schneeberger,,,Daniela Schneeberger
158,392,_Personen,Susanne Leutenegger Oberholzer,,,Susanne Leutenegger Oberholzer
159,393,_Personen,Eric Nussbaumer,,,Eric Nussbaumer
160,394,_Personen,Thomas de Courten,,,Thomas de Courten
161,395,_Personen,Caspar Baader,,,Caspar Baader
162,396,_Personen,Elisabeth Schneider-Schneiter,,,Elisabeth Schneider-Schneiter
163,397,_Personen,Maya Graf,,,Maya Graf
164,398,Medien,Radio Basel,,,Radio Basel
165,399,Medien,Radio Basilisk,,,Radio Basilisk
166,400,Medien,Blick,,,Blick
167,401,Medien,Weltwoche,,,Weltwoche
168,404,Sport,Fussball,Servette Genf,,Servette Genf
169,411,_Länder,Naher Osten,Jemen,,Jemen
170,412,_Feiertage,,,,_Feiertage
171,413,_Feiertage,Weihnachten,,,Weihnachten
172,416,_Länder,Europa,Österreich,,Österreich
173,417,Umwelt & Natur,Tierschutz,,,Tierschutz
174,419,Bildung,Kindergarten,,,Kindergarten
175,421,Sport,Leichtathletik,,,Leichtathletik
176,422,Medien,NZZ,,,NZZ
177,423,Sport,Ski nordisch,,,Ski nordisch
