,topic_id,count,pageviews,average,level0,level1,level2,level3,title
298,349,22,12099,549.9545454545455,Bildung,FHNW,,,FHNW
299,431,21,4793,228.23809523809524,Sport,Pferdesport,,,Pferdesport
300,458,21,23272,1108.1904761904761,Naturereignisse,Unwetter,,,Unwetter
301,888,21,3689,175.66666666666666,Sport,Tennis,Swiss Indoors,,Swiss Indoors
302,485,21,8183,389.6666666666667,Sport,Schach,,,Schach
303,443,21,4456,212.1904761904762,Sport,Radsport,,,Radsport
304,915,21,12171,579.5714285714286,Sport,Fussball,Fifa,,Fifa
305,993,21,9763,464.9047619047619,_Zeitgeschichte,#ParisAttacks,,,#ParisAttacks
306,280,21,11183,532.5238095238095,Gesellschaft,Homosexualität,,,Homosexualität
307,953,21,18654,888.2857142857143,Gesellschaft,Nachruf,,,Nachruf
308,416,21,4012,191.04761904761904,_Länder,Europa,Österreich,,Österreich
309,874,21,2309,109.95238095238095,_Textformen & feste Rubriken,100 Jahre 1. Weltkrieg,,,100 Jahre 1. Weltkrieg
310,360,20,15985,799.25,Medien,Telebasel,,,Telebasel
311,53,20,12910,645.5,Kino,Drama Film,,,Drama Film
312,899,20,25120,1256.0,Lokales,Stadtentwicklung,Roche-Areal,,Roche-Areal
313,598,20,18802,940.1,Politik,_Themen,Arbeitslosigkeit,,Arbeitslosigkeit
314,997,20,9751,487.55,_Zeitgeschichte,Wunschkonzert,,,Wunschkonzert
315,1041,20,21673,1083.65,_Textformen & feste Rubriken,Supersach,,,Supersach
316,812,20,1916,95.8,Lokales,Fasnacht,Basler Fasnacht 2014,,Basler Fasnacht 2014
317,320,20,21641,1082.05,_Länder,Europa,Polen,,Polen
318,732,20,4732,236.6,_Firmen,BKB,,,BKB
319,545,20,9862,493.1,Politik,_Themen,Raumplanung,,Raumplanung
320,539,20,23586,1179.3,_Textformen & feste Rubriken,Reportagen,,,Reportagen
321,218,20,6910,345.5,_Länder,Asien,China,,China
322,423,19,1974,103.89473684210526,Sport,Ski nordisch,,,Ski nordisch
323,916,19,8549,449.94736842105266,Kultur,Museen,Museumsnacht,,Museumsnacht
324,518,19,4721,248.47368421052633,_Länder,Südamerika,Brasilien,,Brasilien
325,447,19,7973,419.63157894736844,Wirtschaft,Telekommunikation,,,Telekommunikation
326,451,18,33650,1869.4444444444443,_Personen,Christoph Blocher,,,Christoph Blocher
327,489,18,5921,328.94444444444446,_Jahreszeiten,Winter,,,Winter
328,768,18,45120,2506.6666666666665,_Textformen & feste Rubriken,Ausflugstipps,,,Ausflugstipps
